#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  93000      1.19e+00    1.01e+00      3.03e-03    4.05e-03      1.73e-01    1.47e-01    4.6e-05
  94000      1.22e+00    1.12e+00      6.08e-04    2.60e-03      1.78e-01    1.63e-01    4.6e-05
  95000      1.07e+00    1.06e+00      3.02e-03    1.30e-03      1.69e-01    1.68e-01    3.9e-05
  96000      1.11e+00    1.58e+00      2.91e-03    2.43e-03      1.76e-01    2.50e-01    3.9e-05
  97000      9.63e-01    1.24e+00      4.21e-03    1.78e-03      1.53e-01    1.96e-01    3.9e-05
  98000      1.17e+00    9.63e-01      5.11e-03    1.30e-03      1.85e-01    1.53e-01    3.9e-05
  99000      9.67e-01    1.01e+00      2.61e-03    3.19e-03      1.53e-01    1.60e-01    3.9e-05
 100000      8.84e-01    1.11e+00      1.77e-03    2.59e-03      1.52e-01    1.91e-01    3.3e-05
 101000      1.22e+00    9.31e-01      1.16e-03    9.45e-04      2.10e-01    1.60e-01    3.3e-05
 102000      7.75e-01    9.69e-01      2.44e-03    3.54e-03      1.33e-01    1.67e-01    3.3e-05
 103000      9.28e-01    9.88e-01      8.95e-04    2.65e-03      1.60e-01    1.70e-01    3.3e-05
 104000      8.06e-01    9.01e-01      1.65e-03    3.45e-03      1.39e-01    1.55e-01    3.3e-05
 105000      6.77e-01    9.02e-01      1.70e-03    2.26e-03      1.27e-01    1.69e-01    2.8e-05
 106000      1.04e+00    9.63e-01      3.23e-03    3.37e-03      1.95e-01    1.80e-01    2.8e-05
 107000      8.17e-01    1.08e+00      3.16e-03    2.55e-03      1.53e-01    2.01e-01    2.8e-05
 108000      8.45e-01    7.54e-01      3.09e-03    2.30e-03      1.58e-01    1.41e-01    2.8e-05
 109000      1.02e+00    8.70e-01      3.44e-03    3.58e-03      1.92e-01    1.63e-01    2.8e-05
 110000      7.80e-01    6.41e-01      6.33e-03    3.69e-03      1.58e-01    1.30e-01    2.3e-05
 111000      9.27e-01    7.53e-01      3.79e-03    5.48e-03      1.88e-01    1.53e-01    2.3e-05
 112000      7.22e-01    6.66e-01      1.41e-03    3.25e-03      1.47e-01    1.35e-01    2.3e-05
 113000      7.70e-01    7.73e-01      2.97e-03    1.36e-03      1.56e-01    1.57e-01    2.3e-05
 114000      8.13e-01    7.83e-01      2.81e-03    1.40e-04      1.65e-01    1.59e-01    2.3e-05
 115000      7.10e-01    8.23e-01      1.80e-03    9.29e-04      1.56e-01    1.81e-01    2.0e-05
 116000      7.59e-01    8.01e-01      2.98e-03    2.10e-03      1.67e-01    1.77e-01    2.0e-05
 117000      7.44e-01    6.98e-01      2.94e-03    2.01e-03      1.64e-01    1.54e-01    2.0e-05
 118000      8.52e-01    8.35e-01      1.64e-03    6.14e-04      1.88e-01    1.84e-01    2.0e-05
 119000      7.10e-01    7.51e-01      2.73e-03    1.68e-03      1.57e-01    1.66e-01    2.0e-05
 120000      7.22e-01    1.28e+00      2.80e-03    9.75e-04      1.73e-01    3.06e-01    1.7e-05
 121000      6.80e-01    7.59e-01      1.29e-03    1.75e-03      1.62e-01    1.81e-01    1.7e-05
 122000      7.27e-01    6.15e-01      1.84e-03    2.75e-03      1.74e-01    1.47e-01    1.7e-05
 123000      7.90e-01    6.31e-01      3.09e-03    1.53e-03      1.89e-01    1.51e-01    1.7e-05
 124000      6.27e-01    6.42e-01      1.90e-03    2.99e-03      1.50e-01    1.53e-01    1.7e-05
 125000      6.03e-01    7.29e-01      1.09e-03    2.40e-03      1.56e-01    1.89e-01    1.4e-05
 126000      8.05e-01    7.00e-01      2.29e-03    3.08e-03      2.09e-01    1.81e-01    1.4e-05
 127000      7.38e-01    7.02e-01      5.37e-04    2.58e-03      1.91e-01    1.82e-01    1.4e-05
 128000      6.13e-01    6.38e-01      8.64e-04    1.62e-03      1.59e-01    1.65e-01    1.4e-05
 129000      1.11e+00    7.19e-01      1.29e-03    2.20e-03      2.88e-01    1.86e-01    1.4e-05
 130000      5.61e-01    6.34e-01      2.86e-03    2.33e-03      1.57e-01    1.78e-01    1.2e-05
 131000      5.35e-01    8.31e-01      1.05e-03    3.22e-03      1.50e-01    2.33e-01    1.2e-05
 132000      6.08e-01    5.31e-01      3.32e-03    3.46e-03      1.70e-01    1.49e-01    1.2e-05
 133000      1.06e+00    5.16e-01      6.71e-04    1.19e-03      2.96e-01    1.45e-01    1.2e-05
 134000      6.27e-01    5.59e-01      1.71e-03    1.28e-03      1.76e-01    1.57e-01    1.2e-05
 135000      5.49e-01    6.12e-01      2.89e-03    2.39e-03      1.66e-01    1.86e-01    9.9e-06
 136000      5.02e-01    5.59e-01      3.26e-03    1.65e-03      1.52e-01    1.69e-01    9.9e-06
 137000      6.87e-01    5.10e-01      8.42e-04    1.05e-03      2.08e-01    1.55e-01    9.9e-06
 138000      5.18e-01    6.78e-01      1.93e-03    1.41e-03      1.57e-01    2.05e-01    9.9e-06
 139000      5.66e-01    5.10e-01      2.14e-03    1.99e-03      1.71e-01    1.55e-01    9.9e-06
 140000      4.88e-01    5.51e-01      1.56e-03    2.10e-03      1.60e-01    1.81e-01    8.3e-06
 141000      4.38e-01    5.91e-01      1.91e-03    1.56e-03      1.43e-01    1.94e-01    8.3e-06
 142000      4.22e-01    5.19e-01      1.17e-03    7.57e-04      1.38e-01    1.70e-01    8.3e-06
 143000      4.84e-01    4.93e-01      3.35e-03    2.38e-03      1.58e-01    1.61e-01    8.3e-06
 144000      4.59e-01    6.95e-01      1.11e-03    3.89e-03      1.50e-01    2.28e-01    8.3e-06
 145000      6.43e-01    4.04e-01      1.11e-03    2.47e-03      2.27e-01    1.42e-01    7.0e-06
 146000      5.11e-01    3.90e-01      3.94e-03    1.49e-03      1.80e-01    1.38e-01    7.0e-06
 147000      5.48e-01    4.82e-01      3.50e-03    2.10e-03      1.93e-01    1.70e-01    7.0e-06
 148000      4.67e-01    4.13e-01      1.68e-03    2.27e-03      1.65e-01    1.46e-01    7.0e-06
 149000      4.25e-01    4.28e-01      2.17e-03    1.55e-03      1.50e-01    1.51e-01    7.0e-06
 150000      4.16e-01    4.10e-01      1.30e-04    2.19e-03      1.58e-01    1.56e-01    5.9e-06
 151000      4.34e-01    4.21e-01      2.15e-03    3.19e-03      1.65e-01    1.60e-01    5.9e-06
 152000      3.20e-01    3.76e-01      1.96e-03    1.17e-03      1.22e-01    1.43e-01    5.9e-06
 153000      3.04e-01    4.84e-01      5.31e-04    8.85e-04      1.15e-01    1.84e-01    5.9e-06
 154000      4.48e-01    5.30e-01      2.06e-03    3.62e-03      1.70e-01    2.01e-01    5.9e-06
 155000      3.89e-01    6.25e-01      1.79e-03    3.60e-03      1.59e-01    2.55e-01    5.0e-06
 156000      4.92e-01    3.84e-01      2.15e-03    3.45e-03      2.01e-01    1.57e-01    5.0e-06
 157000      3.41e-01    1.04e+00      2.81e-03    1.05e-03      1.39e-01    4.24e-01    5.0e-06
 158000      3.80e-01    4.86e-01      9.54e-04    3.08e-03      1.55e-01    1.98e-01    5.0e-06
 159000      4.40e-01    3.94e-01      1.23e-03    3.24e-03      1.80e-01    1.61e-01    5.0e-06
 160000      4.06e-01    4.51e-01      2.37e-03    8.18e-04      1.78e-01    1.97e-01    4.2e-06
 161000      6.19e-01    3.43e-01      5.10e-03    1.86e-03      2.71e-01    1.50e-01    4.2e-06
 162000      3.28e-01    4.08e-01      1.69e-03    1.54e-03      1.44e-01    1.79e-01    4.2e-06
 163000      3.48e-01    4.11e-01      2.52e-03    1.95e-03      1.52e-01    1.80e-01    4.2e-06
 164000      3.86e-01    4.10e-01      2.54e-03    2.74e-03      1.69e-01    1.80e-01    4.2e-06
 165000      3.34e-01    3.84e-01      2.43e-03    2.93e-03      1.56e-01    1.80e-01    3.5e-06
 166000      3.12e-01    2.88e-01      1.86e-03    1.77e-03      1.46e-01    1.35e-01    3.5e-06
 167000      3.77e-01    4.00e-01      2.35e-03    2.65e-03      1.77e-01    1.88e-01    3.5e-06
 168000      3.77e-01    3.15e-01      2.77e-03    2.14e-03      1.77e-01    1.48e-01    3.5e-06
 169000      4.14e-01    3.12e-01      8.68e-04    7.71e-04      1.94e-01    1.46e-01    3.5e-06
 170000      4.51e-01    8.06e-01      2.82e-03    4.25e-03      2.26e-01    4.03e-01    3.0e-06
 171000      2.96e-01    3.36e-01      2.35e-03    7.92e-04      1.48e-01    1.68e-01    3.0e-06
 172000      3.18e-01    3.10e-01      1.65e-03    8.47e-04      1.59e-01    1.55e-01    3.0e-06
 173000      3.78e-01    3.67e-01      2.02e-03    2.89e-03      1.89e-01    1.84e-01    3.0e-06
 174000      2.65e-01    3.03e-01      1.83e-03    1.80e-03      1.33e-01    1.52e-01    3.0e-06
 175000      3.36e-01    3.53e-01      6.44e-04    1.17e-03      1.79e-01    1.88e-01    2.5e-06
 176000      2.72e-01    3.50e-01      2.48e-03    2.50e-03      1.45e-01    1.87e-01    2.5e-06
 177000      3.37e-01    3.28e-01      1.79e-03    2.00e-03      1.80e-01    1.75e-01    2.5e-06
 178000      3.43e-01    3.60e-01      1.90e-03    1.96e-03      1.83e-01    1.92e-01    2.5e-06
 179000      3.29e-01    3.11e-01      2.04e-03    7.66e-04      1.75e-01    1.66e-01    2.5e-06
 180000      3.40e-01    3.42e-01      2.03e-03    1.58e-03      1.92e-01    1.94e-01    2.1e-06
 181000      2.82e-01    2.94e-01      2.31e-03    2.43e-03      1.60e-01    1.66e-01    2.1e-06
 182000      2.89e-01    2.90e-01      2.22e-03    9.16e-04      1.64e-01    1.64e-01    2.1e-06
 183000      2.66e-01    2.29e-01      3.22e-03    5.58e-04      1.50e-01    1.30e-01    2.1e-06
 184000      2.52e-01    2.91e-01      1.08e-03    1.84e-03      1.42e-01    1.65e-01    2.1e-06
 185000      3.27e-01    3.01e-01      8.55e-04    2.61e-03      1.96e-01    1.80e-01    1.8e-06
 186000      2.64e-01    3.13e-01      1.06e-03    2.12e-03      1.58e-01    1.87e-01    1.8e-06
 187000      2.49e-01    2.65e-01      8.98e-04    2.06e-03      1.49e-01    1.59e-01    1.8e-06
 188000      2.69e-01    2.37e-01      2.46e-03    7.38e-04      1.61e-01    1.42e-01    1.8e-06
 189000      3.06e-01    2.41e-01      1.64e-03    2.02e-03      1.83e-01    1.44e-01    1.8e-06
 190000      3.44e-01    2.14e-01      2.53e-03    3.50e-03      2.17e-01    1.35e-01    1.5e-06
 191000      2.22e-01    2.54e-01      7.42e-04    3.81e-03      1.40e-01    1.60e-01    1.5e-06
 192000      2.77e-01    2.59e-01      7.58e-04    1.39e-03      1.75e-01    1.63e-01    1.5e-06
 193000      2.56e-01    2.56e-01      2.32e-03    2.35e-03      1.61e-01    1.62e-01    1.5e-06
 194000      3.18e-01    3.17e-01      2.61e-03    2.22e-03      2.01e-01    2.00e-01    1.5e-06
 195000      2.34e-01    2.33e-01      2.10e-03    1.94e-03      1.55e-01    1.54e-01    1.3e-06
 196000      2.61e-01    2.45e-01      3.40e-03    9.08e-04      1.73e-01    1.63e-01    1.3e-06
 197000      2.50e-01    4.57e-01      1.23e-03    1.11e-03      1.66e-01    3.03e-01    1.3e-06
 198000      2.53e-01    2.49e-01      1.69e-03    1.83e-03      1.68e-01    1.65e-01    1.3e-06
 199000      2.36e-01    3.20e-01      3.10e-03    3.65e-03      1.57e-01    2.12e-01    1.3e-06
 200000      2.24e-01    2.12e-01      2.00e-03    1.63e-03      1.55e-01    1.47e-01    1.1e-06
 201000      2.78e-01    2.37e-01      3.33e-03    2.22e-03      1.93e-01    1.65e-01    1.1e-06
 202000      2.71e-01    2.63e-01      1.98e-03    2.68e-03      1.88e-01    1.83e-01    1.1e-06
 203000      2.09e-01    2.83e-01      9.85e-04    3.12e-03      1.45e-01    1.97e-01    1.1e-06
 204000      2.23e-01    2.25e-01      9.25e-04    1.50e-03      1.55e-01    1.56e-01    1.1e-06
 205000      1.99e-01    1.88e-01      1.78e-03    1.77e-03      1.44e-01    1.36e-01    9.0e-07
 206000      2.27e-01    2.53e-01      2.20e-03    1.49e-03      1.65e-01    1.83e-01    9.0e-07
 207000      2.15e-01    2.07e-01      2.19e-03    1.64e-03      1.56e-01    1.50e-01    9.0e-07
 208000      2.41e-01    2.94e-01      2.41e-03    2.46e-03      1.74e-01    2.13e-01    9.0e-07
 209000      2.07e-01    1.86e-01      1.77e-03    1.87e-03      1.50e-01    1.35e-01    9.0e-07
 210000      2.67e-01    2.18e-01      2.21e-03    6.94e-04      2.01e-01    1.65e-01    7.6e-07
 211000      1.86e-01    2.12e-01      2.50e-03    2.46e-03      1.40e-01    1.60e-01    7.6e-07
 212000      2.29e-01    2.28e-01      2.85e-03    2.30e-03      1.73e-01    1.72e-01    7.6e-07
 213000      2.16e-01    2.53e-01      3.20e-03    2.96e-03      1.62e-01    1.91e-01    7.6e-07
 214000      2.12e-01    2.05e-01      1.05e-03    1.83e-03      1.59e-01    1.54e-01    7.6e-07
 215000      1.91e-01    2.25e-01      1.69e-03    2.09e-03      1.49e-01    1.75e-01    6.4e-07
 216000      2.42e-01    1.43e-01      1.99e-03    5.98e-04      1.89e-01    1.11e-01    6.4e-07
 217000      2.17e-01    2.14e-01      1.87e-03    1.33e-03      1.69e-01    1.67e-01    6.4e-07
 218000      2.02e-01    1.89e-01      1.54e-03    2.63e-03      1.57e-01    1.47e-01    6.4e-07
 219000      2.51e-01    5.18e-01      2.58e-03    1.34e-03      1.96e-01    4.04e-01    6.4e-07
 220000      1.83e-01    2.46e-01      1.55e-03    9.67e-04      1.48e-01    1.98e-01    5.4e-07
 221000      2.02e-01    1.87e-01      2.21e-03    1.22e-03      1.62e-01    1.51e-01    5.4e-07
 222000      3.48e-01    2.09e-01      9.82e-04    3.76e-03      2.80e-01    1.68e-01    5.4e-07
 223000      2.51e-01    1.63e-01      3.01e-03    2.40e-03      2.02e-01    1.31e-01    5.4e-07
 224000      2.19e-01    1.81e-01      2.73e-03    1.46e-03      1.76e-01    1.46e-01    5.4e-07
 225000      1.98e-01    3.28e-01      5.91e-04    4.35e-03      1.64e-01    2.72e-01    4.6e-07
 226000      1.92e-01    1.89e-01      1.76e-03    3.03e-03      1.59e-01    1.57e-01    4.6e-07
 227000      2.21e-01    1.73e-01      2.72e-03    2.32e-03      1.83e-01    1.43e-01    4.6e-07
 228000      1.95e-01    1.97e-01      1.03e-03    1.98e-03      1.61e-01    1.64e-01    4.6e-07
 229000      1.55e-01    1.93e-01      1.99e-03    2.05e-03      1.29e-01    1.60e-01    4.6e-07
 230000      1.95e-01    1.94e-01      2.48e-03    2.69e-03      1.65e-01    1.64e-01    3.8e-07
 231000      3.10e-01    1.70e-01      4.33e-03    8.86e-04      2.63e-01    1.45e-01    3.8e-07
 232000      1.72e-01    2.01e-01      1.43e-03    1.04e-03      1.46e-01    1.71e-01    3.8e-07
 233000      1.73e-01    1.62e-01      2.34e-03    1.48e-03      1.47e-01    1.37e-01    3.8e-07
 234000      1.86e-01    2.12e-01      1.48e-03    2.50e-03      1.58e-01    1.80e-01    3.8e-07
 235000      1.95e-01    1.54e-01      7.75e-04    1.22e-03      1.70e-01    1.34e-01    3.2e-07
 236000      2.02e-01    1.78e-01      2.76e-03    1.66e-03      1.75e-01    1.55e-01    3.2e-07
 237000      1.69e-01    1.68e-01      8.25e-04    7.17e-04      1.47e-01    1.46e-01    3.2e-07
 238000      1.89e-01    1.54e-01      1.42e-03    1.65e-03      1.65e-01    1.34e-01    3.2e-07
 239000      1.84e-01    1.84e-01      1.10e-03    1.73e-03      1.60e-01    1.60e-01    3.2e-07
 240000      2.05e-01    1.68e-01      2.43e-03    1.75e-03      1.81e-01    1.49e-01    2.7e-07
 241000      1.95e-01    2.11e-01      1.47e-03    2.07e-03      1.73e-01    1.87e-01    2.7e-07
 242000      2.10e-01    1.98e-01      2.22e-03    8.50e-04      1.86e-01    1.75e-01    2.7e-07
 243000      1.90e-01    1.74e-01      1.40e-03    2.17e-03      1.68e-01    1.54e-01    2.7e-07
 244000      1.95e-01    1.80e-01      2.77e-03    2.52e-03      1.73e-01    1.59e-01    2.7e-07
 245000      1.78e-01    1.41e-01      1.54e-03    8.40e-04      1.61e-01    1.27e-01    2.3e-07
 246000      1.93e-01    1.86e-01      1.46e-03    2.05e-03      1.74e-01    1.67e-01    2.3e-07
 247000      1.72e-01    1.58e-01      2.49e-03    8.67e-04      1.55e-01    1.43e-01    2.3e-07
 248000      2.41e-01    1.76e-01      5.83e-04    1.99e-03      2.17e-01    1.58e-01    2.3e-07
 249000      1.74e-01    2.01e-01      2.71e-03    5.50e-04      1.57e-01    1.82e-01    2.3e-07
 250000      1.68e-01    1.54e-01      2.74e-03    3.02e-03      1.53e-01    1.41e-01    1.9e-07
 251000      2.37e-01    1.82e-01      1.06e-03    1.07e-03      2.16e-01    1.67e-01    1.9e-07
 252000      1.95e-01    2.31e-01      7.92e-04    2.37e-03      1.78e-01    2.11e-01    1.9e-07
 253000      1.85e-01    1.77e-01      2.29e-03    2.11e-03      1.69e-01    1.62e-01    1.9e-07
 254000      1.78e-01    1.75e-01      2.57e-03    2.87e-03      1.63e-01    1.60e-01    1.9e-07
 255000      1.92e-01    1.76e-01      2.48e-03    3.12e-03      1.78e-01    1.62e-01    1.6e-07
 256000      2.06e-01    4.65e-01      3.00e-03    1.36e-03      1.91e-01    4.31e-01    1.6e-07
 257000      1.41e-01    1.40e-01      1.37e-03    2.38e-03      1.30e-01    1.30e-01    1.6e-07
 258000      1.82e-01    1.56e-01      1.48e-03    2.18e-03      1.68e-01    1.44e-01    1.6e-07
 259000      2.21e-01    1.75e-01      2.33e-03    1.69e-03      2.05e-01    1.62e-01    1.6e-07
 260000      1.94e-01    1.52e-01      3.13e-03    2.28e-03      1.81e-01    1.43e-01    1.4e-07
